iter	Passed	Remaining
0	1	105
1	1	93
2	2	93
3	3	85
4	4	82
5	5	81
6	5	78
7	6	77
8	7	76
9	8	74
10	9	75
11	10	75
12	11	74
13	11	73
14	12	71
15	13	70
16	14	69
17	14	67
18	15	66
19	16	65
20	17	65
21	18	64
22	18	62
23	19	61
24	20	60
25	21	60
26	21	58
27	22	58
28	23	58
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	29	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	41
46	36	41
47	37	40
48	37	39
49	38	38
50	39	37
51	40	37
52	40	36
53	41	35
54	41	34
55	42	33
56	43	32
57	44	31
58	44	31
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	51	23
69	52	22
70	53	21
71	54	21
72	54	20
73	55	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	61	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	66	8
89	67	7
90	68	6
91	69	6
92	69	5
93	70	4
94	71	3
95	72	3
96	73	2
97	74	1
98	75	0
99	76	0
